,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,S.No,Symbol,LTP,Point Change,% Change,Open,High,Low,Volume,Prev. Close,,S.No,Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,
,,1,ACLBSL,934,4,0.43,930,935,910.3,502,930,,1,ACLBSL,-,930,935,910.3,934,934,0,0,915.52,502,930,"459,588.80",22,4,24.7,0.43,2.71,1.98,964.84,967.88,"1,202.00",827.9,
,,2,ADBL,322.5,2.5,0.78,318.2,324,317.3,"147,317.00",320,,2,ADBL,-,318.2,324,317.3,322.5,322.5,0,0,322.56,"147,317.00",320,"47,517,908.70",208,2.5,6.7,0.78,2.11,-0.02,310.48,308.34,344.9,285.2,
,,3,ADBLD83,"1,025.00",5,0.49,"1,029.70","1,029.70","1,025.00",45,"1,020.00",,3,ADBLD83,-,"1,029.70","1,029.70","1,025.00","1,025.00","1,025.00",0,0,"1,027.61",45,"1,020.00","46,242.50",2,5,4.7,0.49,0.46,-0.25,"1,082.47","1,087.85","1,132.90","1,015.00",
,,4,AHL,420,0,0,411,423,411,"1,619.00",420,,4,AHL,-,411,423,411,420,420,0,0,415.76,"1,619.00",420,"673,117.60",47,0,12,0,2.92,1.01,499.34,528.35,699,405,
,,5,AHPC,269,2,0.75,265,269.8,265,"117,686.00",267,,5,AHPC,-,265,269.8,265,269,269,0,0,266.91,"117,686.00",267,"31,411,388.40",196,2,4.8,0.75,1.81,0.78,280.53,279.06,323.3,250.1,
,,6,AKJCL,366,6,1.67,360,367.9,357.1,"223,712.00",360,,6,AKJCL,-,360,367.9,357.1,366,366,0,0,363.98,"223,712.00",360,"81,426,269.80",556,6,10.8,1.67,3.02,0.55,377.08,317.55,461.4,172.9,
,,7,AKPL,261.7,4.8,1.87,255.9,261.7,254.1,"54,673.00",256.9,,7,AKPL,-,255.9,261.7,254.1,261.7,261.7,0,0,258.15,"54,673.00",256.9,"14,113,758.50",206,4.8,7.6,1.87,2.99,1.36,270.31,262.56,317,227.5,
,,8,ALBSL,"1,114.80",27.2,2.5,"1,051.00","1,114.80","1,051.00","10,020.00","1,087.60",,8,ALBSL,-,"1,051.00","1,114.80","1,051.00","1,114.80","1,114.80",0,0,"1,081.23","10,020.00","1,087.60","10,833,880.20",113,27.2,63.8,2.5,6.07,3.01,"1,123.58","1,118.26","1,334.00",921,
,,9,ALICL,431.7,3,0.7,428.7,433.8,423.5,"48,252.00",428.7,,9,ALICL,-,428.7,433.8,423.5,431.7,431.7,0,0,427.62,"48,252.00",428.7,"20,633,493.80",91,3,10.3,0.7,2.43,0.95,454.14,459.72,531,413.4,
,,10,ANLB,"5,649.00",-48,-0.84,"5,500.00","6,277.00","5,460.00","1,810.00","5,697.00",,10,ANLB,-,"5,500.00","6,277.00","5,460.00","5,649.00","5,649.00",0,0,"5,583.69","1,810.00","5,697.00","10,106,477.50",82,-48,817,-0.84,14.96,1.16,"6,189.97","6,182.11","7,560.00","5,450.00",
,,11,APHL,839,5,0.6,820.8,844.9,820.8,"15,695.00",834,,11,APHL,-,820.8,844.9,820.8,839,839,0,0,832.96,"15,695.00",834,"13,073,343.50",295,5,24.1,0.6,2.94,0.72,0,0,"1,053.40",299.7,
,,12,API,335.3,2.3,0.69,334.8,337,332,"126,694.00",333,,12,API,-,334.8,337,332,335.3,335.3,0,0,334.3,"126,694.00",333,"42,354,011.00",332,2.3,5,0.69,1.51,0.3,336,319.83,370,258.8,
,,13,AVYAN,"1,029.00",14,1.38,"1,002.10","1,029.00","1,002.10","1,441.00","1,015.00",,13,AVYAN,-,"1,002.10","1,029.00","1,002.10","1,029.00","1,029.00",0,0,"1,015.70","1,441.00","1,015.00","1,463,630.00",35,14,26.9,1.38,2.68,1.29,"1,080.73","1,044.39","1,366.00",906,
,,14,BANDIPUR,727,7.2,1,711,728,703.1,"34,075.00",719.8,,14,BANDIPUR,-,711,728,703.1,727,727,0,0,713.5,"34,075.00",719.8,"24,312,461.40",409,7.2,24.9,1,3.54,1.86,856.04,0,"1,233.00",285,
