Ticker,Close,Change,Pct,AMOUNT,advance,decline,unchanged,RSI,WMA,DPO,SEB,DC,Ichimuku cloud,Date,strength
NEPSE,2685.54,12.96,0.48,3.75B,180,82,13,51.7,54.25,48.25,2710,2758,Below cloud ( Bearish),July 31 2026,-24.46
Banking SubIndex,"1,491.29",10.78,0.72,578.97M,17,2,0,66.34,65.94,68.54,1489.7,1490,Above cloud(Bullish),July 31 2026,1.59
Development Bank Index,"5,676.15",27.36,0.48,297.19M,13,3,0,48.19,52.05,54.43,5745,5981,Below cloud ( Bearish),July 31 2026,-68.85
Finance Index,"2,436.71",4.41,0.18,261.57M,8,2,3,50.18,51.86,12.52,2447,2517,Below cloud ( Bearish),July 31 2026,-10.29
Hotels And Tourism Index,"7,369.43",35.27,0.48,82.79M,6,2,0,48.48,49.7,35.72,7403,7745,Below cloud ( Bearish),July 31 2026,-33.57
HydroPower Index,"3,715.96",25.79,0.69,1.55B,73,34,3,49.73,52.68,57.06,3763,3809,Below cloud ( Bearish),July 31 2026,-47.04
Investment Index,98.44,0.22,0.23,161.23M,5,2,0,48.44,52.18,1.2,99.88,104.16,Below cloud ( Bearish),July 31 2026,-1.44
Life Insurance,"12,042.14",23.74,0.19,100.51M,8,5,1,40.45,46.99,-45.67,12189,12858,Below cloud ( Bearish),July 31 2026,-146.86
Manufacturing And Processing,"10,659.55",27.41,0.25,388.88M,12,3,0,47.97,52.44,121,10886,10845,Below cloud ( Bearish),July 31 2026,-226.45
Microfinance Index,"4,610.43",11.06,0.24,109.15M,22,25,2,41.98,46.03,-13.36,4660,4908,Below cloud ( Bearish),July 31 2026,-49.57
Mutual Fund,21.11,0.05,0.25,2.27M,17,15,7,37.25,38.57,-0.5,21.26,21.65,Below cloud ( Bearish),July 31 2026,-0.15
Non Life Insurance,"10,749.96",-18.19,-0.16,31.75M,9,2,2,42.16,47.35,-53.97,10920,11239,Below cloud ( Bearish),July 31 2026,-170.04
Others Index,"1,966.42",18.18,0.93,109.85M,7,1,1,50.94,51.81,47.68,1989,2168,Below cloud ( Bearish),July 31 2026,-22.58
Trading Index,"3,379.60",-2.43,-0.07,2.18M,0,1,1,49.13,50.9,44.78,3401,3768,Below cloud ( Bearish),July 31 2026,-21.4
